,0,1,2,3,4
0,2020/3/1,Parc Greenwich,555,2021/9/1,1227
1,2020/1/1,Irwell Hill Residences,1515,2021/4/1,2672
2,2020/1/1,Bartley Vue,885,2021/9/1,1902
3,2019/9/1,One-North Eden,1002,2021/4/1,1966
4,2019/9/1,Midtown Modern,1535,2021/3/1,2726
5,2019/10/1,Provence Residence,566,2021/5/1,1169
6,2019/7/1,Clavon,788,2020/12/1,1637
7,2019/4/1,The M,1458,2020/2/1,2484
8,2019/4/1,Penrose,732,2020/9/1,1604
9,2018/9/1,Ola,576,2020/3/1,1152
10,2018/9/1,Verdale,1002,2020/9/1,1765
11,2018/9/1,Dairy Farm Residences,830,2019/11/1,1606
12,2018/9/1,Parc Canberra,558,2020/2/1,1100
13,2018/6/1,Verticus,1111,2020/2/1,2022
14,2018/5/1,Neu at Novena,1472,2019/10/1,2607
15,2018/5/1,The Hyde,1415,2019/5/1,2952
16,2018/5/1,The Landmark,1406,2020/11/1,2162
17,2018/5/1,Peak Residence,1558,2021/4/1,2527
18,2018/4/1,Avenue South Residence,1138,2019/9/1,2056
19,2018/5/1,The Antares,1109,2019/9/1,1782
20,2018/5/1,Cuscaden Reserve,2377,2019/9/1,3604
21,2018/4/1,15 Holland Hill,1712,2020/4/1,2995
22,2018/4/1,Sky Everton,1565,2019/6/1,2598
23,2018/4/1,Leedon Green,1790,2020/1/1,2672
24,2018/4/1,Hyll on Holland,1504,2020/10/1,2446
25,2018/3/1,The Avenir,1806,2020/1/1,3185
26,2018/3/1,Jervois Treasures,1683,2020/2/1,2389
27,2018/3/1,Urban Treasures,1118,2019/11/1,1958
28,2018/3/1,The Atelier,1626,2021/3/1,2751
29,2018/3/1,Hyll on Holland,1703,2020/10/1,2446
30,2018/3/1,Piermont Grand,583,2019/7/1,1110
31,2018/2/1,Whistler Grand,800,2018/11/1,1412
32,2018/2/1,Haus on Handy,1722,2019/7/1,2813
33,2018/1/1,View at Kismis,855,2019/7/1,1703
34,2017/12/1,Fyve Derbyshire,1390,2019/1/1,2320
35,2018/3/1,Rezi 24,818,2019/3/1,1579
36,2017/12/1,Royalgreen,1960,2019/10/1,2730
37,2017/11/1,The Hyde,1527,2019/5/1,2952
38,2017/11/1,The Lilium,1092,2019/6/1,2032
39,2017/11/1,35 Gilstead,1638,2019/3/1,2517
40,2017/10/1,Amber Park,1515,2019/5/1,2468
